id,type,subtype,price,transactionType,zip,visualisationOption,cuisine_type,constructionYear,condition,heatingType,primaryEnergyConsumptionLevel,room_number,surface,atticExists,basementExists,hasSwimmingPool,indoor,outdoor,short_id,company_name,m2,commune
9022403,apartment,apartment,315000,for sale,8400,xl,installed,2008,,gas,,2,,,,,,1,501124,dewaele vastgoed &amp; advies oostende,90,Ostende
8898948,apartment,apartment,319000,for sale,2930,xl,hyper equipped,,as new,gas,,2,,,,,1,,3623192,,120,Brasschaat
8662509,apartment,apartment,320000,for sale,1140,xl,semi equipped,2017,,gas,,2,,,,,1,,96269,immo janauschek bvba,85,Evere
8825030,apartment,ground floor,331000,for sale,9300,xl,installed,,,gas,,3,,,true,,,,3652590,bricks immobiliën,118,Alost
8500209,apartment,apartment,321000,for sale,1000,xl,usa hyper equipped,2022,as new,gas,,2,,,,,,,1861729,dewaele | vastgoed met advies brussel,95,Bruxelles%20ville
8822995,apartment,duplex,327500,for sale,8370,xl,,2014,as new,,,3,,,,,,,3472233,rencura kust,116,Blankenberge
8934374,apartment,apartment,330000,for sale,1000,xl,hyper equipped,,as new,gas,,1,,,,,,,943623,espace immo brussels centre,110,BRUXELLES
8937972,apartment,apartment,339000,for sale,8900,xl,,2013,as new,gas,,3,,,,,1,,472960,home estate,3,Ypres
8983056,apartment,duplex,345000,for sale,1420,xl,hyper equipped,,as new,gas,,3,,,,,,,1790430,cedimmo braine-l&#039;alleud,122,Braine-l'Alleud
8983059,apartment,duplex,345000,for sale,1420,xl,hyper equipped,,as new,gas,,3,,,,,,,1790430,cedimmo braine-l&#039;alleud,114,Braine-l'Alleud
9023368,apartment,penthouse,345000,for sale,9032,xl,installed,2020,as new,gas,,2,,,,,,,1989885,immo da vinci,92,Gent%20Wondelgem
9023371,apartment,penthouse,349000,for sale,9032,xl,installed,2020,as new,gas,,2,,,,,,,1989885,immo da vinci,106,Gent%20Wondelgem
8982382,apartment,apartment,359000,for sale,9040,xl,installed,2017,good,gas,,2,,,,,,,1915103,huysewinkel gent,102,Sint-Amandsberg
9023370,apartment,penthouse,347000,for sale,9032,xl,installed,2020,as new,gas,,2,,,,,,,1989885,immo da vinci,95,Gent%20Wondelgem
8999601,apartment,apartment,360000,for sale,1070,xl,usa hyper equipped,,good,gas,,3,,,,,,,1748613,jam properties,165,Anderlecht
9023375,apartment,apartment,349000,for sale,9032,xl,installed,2020,as new,gas,,3,,,,,,,1989885,immo da vinci,120,Gent%20Wondelgem
